"","placekey","parent_placekey","location_name","street_address","city","region","postal_code","safegraph_brand_ids","brands","date_range_start","date_range_end","raw_visit_counts","raw_visitor_counts","visits_by_day","poi_cbg","visitor_home_cbgs","visitor_home_aggregation","visitor_daytime_cbgs","visitor_country_of_origin","distance_from_home","median_dwell","bucketed_dwell_times","related_same_day_brand","related_same_month_brand","popularity_by_hour","popularity_by_day","device_type","DataSplit","55025002603","55025002700","55025011503","55025013200","55025013302","55025002602","55025011402","55025012002","55021970200","55025011000","55025011700","55025003002","55025011200","55025012001","55025003100","55025002000","55025010400","55025012501","55025001802","55049950500","55025002301","55025011302","55025001502","55025013000","55025011301","55025003001","55055100602","55025013301","55025002100","55021971000","55025011504","55025011600","55025011506","55025011800","55021971200","55025011505","55025011401","55027961800","55025011900","55025010502","55021970600","55021970100","55025010600","55021970400","55055100400","55025012202","55025012502","55025012300","55025012400","55105002900","55025012201","55045960100","55105003001","55105001302","55105003002","55025000504","55105001202","55025010800","55025010702","55025000503","55025013700","55025010701","55025001403","55045960200","55025000600","55025012800","55025000501","55025012600","55025001402","55025010903","55025012700","55025000407","55025010904","55025010901","55025000405","55025001401","55105002800","55045960600","55025011102","55025000406","55065970100","12103027322","55045960300","26111291200","17031811200","55025001501","55025002800","55025010300","55025011101","55025010501","55025001300","55021970800","55049950200","55025000408","55025013100","55025012900","55025002900","55025002402","55025002200","55025001804","55025002401","55025002500","55025001900","55025002601","55055100500","55025000402","55025002302","55079011000","55111000600","55025001605","55133201505","55025000800","17043840801","55025000902","55133204400","55025000204","55055101300","55105001304","55025001603","55105002700","18089030600","26065003601","36075020500","55027960400","55025001705","55021970300","17201001700","55105002000","55055101000","55001950400","55025001604","55105000500","55133203803","55105003300","55025010200","55025000901","55025001101","55025001704","55111000401","55097960300","55079120203","55123960300","55079185300","55025000202","55025001000","55025001200","55001950700","55111001001","55105001100","55025000205","55025000700","55025000300","55111000700","55049950100","55025000100","55025000201","55111000300","55025000401","55111000800","35045000401","55025012100","55021970900","48157673003","55111000900","55111000200","55111001100","55025003200","55025001102","19061010103","55127000400","55049950400","55035001200","55021970700","55111000500","47179060400","26043950400","17097863904","17031803008","22017023400","12033002701","55025001606","17043846515","19061001201","55085971002","55043960200","55077960500","55003950700","55025010100","55065970200","55027961700","55027960900","55105001201","55021971100","55105001400","17201000104","55105001600","55089650102","55027962000","55059002904","55079019400","17097864410","17019000902","55101001801","55079000301","17111870702","55055100601","55027960600","55077960300","55027961000","55027961200","55027960800","55027961900","17031833000","18089021400","55027960700","55079001300","12109020902","55057100500","55021970500","55105001303","55141010200","55141011300","18063210607","19061010300","55027960200","55073001600","55111000402","55101001702","55027960500","47189030800","55097960800","55117000100","55055101600","55047100500","55063000700","55039041800","17093890700","55131440103","55117010602","49049010405","55045960800","17201003710","19061010202","55055101400","55049950300","55097961000","55055100900","55131440104","55097960600","44005041200","55133202302","17031809000","55079090200","04013106300","19061010201","55105002400","06059032057","55053960500","55055100700","55105001700","55079000501","55131470202","17201004300","17031804202","17201003705","55079000800","55133204200","55125950600","55089620100","18067010200","55127000200","55105000100","19135070300","17201004001","55035000302","55077960100","17111870905","55073000900","55097960200","55079160204","55081950400"
"1","zzw-224@5s9-x3j-g8v","","Hy-Vee","3801 E Washington Ave","Madison","WI",53704,"SG_BRAND_8f8c9465b9550499b0540b26e9470dec","Hy-Vee","2020-04-01T00:00:00-05:00","2020-05-01T00:00:00-05:00",215,151,"[9,7,8,10,7,11,8,14,4,7,8,7,6,5,6,5,4,10,6,4,10,5,4,7,5,6,11,7,8,6]",550250026032,"{""550250026031"":9,""550250009023"":6,""550250133023"":5,""550250113012"":4,""550250115051"":4,""191850701001"":4,""550250018022"":4,""550250133012"":4,""550250112003"":4,""550250114012"":4,""550250002051"":4,""190610011022"":4,""550219712004"":4,""550499506002"":4,""550250132004"":4,""550250132005"":4,""550250027001"":4,""550790174001"":4,""550250115031"":4,""550250023012"":4,""550250026021"":4,""550250030011"":4,""550250133022"":4,""550250024012"":4,""550250105021"":4,""550250026032"":4,""550219708001"":4,""550250104002"":4,""550219712002"":4,""550250027003"":4,""550250031003"":4}","{""55025002603"":11,""55025002700"":8,""55025011503"":7,""55025013200"":7,""55025013302"":7,""55025002602"":7,""55025011402"":5,""55025012002"":5,""55021970200"":4,""55025011000"":4,""55025011700"":4,""55025003002"":4,""55025011200"":4,""55025012001"":4,""55025003100"":4,""55025002000"":4,""55025010400"":4,""55025012501"":4,""55025001802"":4,""55049950500"":4,""55025002301"":4,""55025011302"":4,""55025001502"":4,""55025013000"":4,""55025011301"":4,""55025003001"":4,""55055100602"":4,""55025013301"":4,""55025002100"":4,""55021971000"":4}","{""550250026031"":9,""550250022002"":5,""550250026032"":5,""550219712002"":4,""550250018022"":4,""191179504001"":4,""550250132005"":4,""550250030012"":4,""550250014033"":4,""550219702002"":4,""550250123003"":4,""550250114023"":4,""550250133022"":4,""550250025001"":4,""550250027003"":4,""550250116003"":4,""550250117001"":4,""550250028002"":4,""550250026012"":4,""550250133012"":4,""191130029004"":4,""550250133023"":4,""550250120011"":4,""550250026021"":4,""550250132004"":4,""550250132002"":4,""171978810012"":4,""550250115032"":4,""550250027001"":4,""550250115051"":4,""550790174001"":4}","{""US"":149}",10627,14,"{""<5"":7,""5-10"":80,""11-20"":46,""21-60"":62,""61-120"":18,""121-240"":2,"">240"":0}","{""Kwik Trip"":17,""Walmart"":11,""BP"":9,""Caribou Coffee"":9,""Target"":8,""Woodman's Market"":8,""Pick 'n Save"":6,""Portillo's Restaurants"":5,""Chick-fil-A"":5,""Red Robin Gourmet Burgers"":3,""Culver's"":3,""Walgreens"":3,""Buffalo Wild Wings"":2,""Five Guys"":2,""Chipotle Mexican Grill"":2,""Howard Johnson (HoJo)"":2,""Menard's"":2,""McDonald's"":2,""Little Caesars"":1,""Casey's General Stores"":1}","{""Kwik Trip"":56,""Walmart"":44,""Woodman's Market"":36,""Walgreens"":35,""Caribou Coffee"":31,""Pick 'n Save"":30,""McDonald's"":30,""Culver's"":30,""Target"":26,""BP"":26,""Menard's"":26,""Mobil"":17,""Costco"":16,""The Home Depot"":14,""Piggly Wiggly"":13,""Dollar Tree"":12,""Taco Bell"":11,""Subway"":11,""Chick-fil-A"":10,""Dollar General"":9}","[0,0,0,0,0,6,14,15,6,9,17,31,35,38,26,24,21,23,22,10,7,1,0,0]","{""Monday"":32,""Tuesday"":30,""Wednesday"":42,""Thursday"":26,""Friday"":26,""Saturday"":33,""Sunday"":26}","{""android"":104,""ios"":45}","locations",11,8,7,7,7,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","222-222@5s9-xnb-2p9","","ALDI","750 Bunny Trl","Sun Prairie","WI",53590,"SG_BRAND_41267d9fb3826d417e32077a3b0a35e5","ALDI","2020-04-01T00:00:00-05:00","2020-05-01T00:00:00-05:00",284,207,"[2,8,5,16,8,7,6,3,15,16,17,1,7,7,4,12,10,15,6,10,6,13,7,8,17,8,14,10,14,12]",550250114023,"{""550250114023"":20,""550250115032"":10,""550250115042"":8,""550250115031"":7,""550250115061"":6,""550250116003"":6,""550551017021"":6,""550250113012"":5,""550250118001"":5,""550250109042"":5,""550250120013"":5,""550250117001"":5,""550250116002"":5,""550219709002"":4,""550250115051"":4,""550250132001"":4,""550250132004"":4,""550219712003"":4,""550250026022"":4,""550250113011"":4,""550250115053"":4,""550250115041"":4,""550350001003"":4,""550250114012"":4,""550250133012"":4,""550219712004"":4,""550219706002"":4,""550551004003"":4,""550219709001"":4,""550250026031"":4,""550250114021"":4,""550250116001"":4,""550250106005"":4,""550250115063"":4,""550250026021"":4,""550250118002"":4,""550250114011"":4,""550250112002"":4,""550219707004"":4}","{""55025011402"":26,""55025011503"":17,""55025011504"":12,""55025011600"":12,""55025011506"":10,""55025013200"":10,""55025011800"":9,""55025012001"":8,""55021971200"":7,""55025011700"":6,""55025011505"":6,""55025013301"":5,""55025002301"":5,""55025011401"":5,""55027961800"":4,""55025011900"":4,""55025002602"":4,""55025011301"":4,""55025010502"":4,""55021970600"":4,""55021970100"":4,""55025010600"":4,""55021970400"":4,""55055100400"":4}","{""550250114023"":21,""550250115042"":8,""550250116003"":7,""550250115031"":7,""550250114021"":7,""550250115032"":6,""550219712003"":5,""550250118001"":5,""550250115062"":5,""550250117001"":5,""550250120011"":4,""550250132002"":4,""550250026022"":4,""550250105022"":4,""550250113012"":4,""550219709002"":4,""550250109042"":4,""550250113011"":4,""550250026021"":4,""550250133011"":4,""550279618002"":4,""550250132004"":4,""550250116002"":4,""550250115061"":4,""550250114012"":4,""550219707002"":4,""550250120013"":4,""550250115052"":4,""550250118003"":4,""550250023011"":4,""550250114011"":4,""551050031005"":4,""550250115041"":4,""550250132001"":4,""550250104001"":4,""551050030024"":4,""550219709001"":4,""550551004003"":4}","{""US"":206}",8870,12,"{""<5"":10,""5-10"":100,""11-20"":90,""21-60"":83,""61-120"":1,""121-240"":0,"">240"":0}","{""Woodman's Market"":23,""Costco"":11,""Menard's"":11,""Walmart"":9,""Kwik Trip"":7,""Pick 'n Save"":7,""Target"":6,""McDonald's"":6,""MOOYAH"":4,""Walgreens"":3,""Culver's"":3,""Dollar General"":2,""Arby's"":2,""BP"":2,""The Home Depot"":2,""Costco Gasoline"":1,""CrossFit"":1,""AutoZone"":1,""Sonic"":1,""Taco Bell"":1}","{""Walmart"":52,""Kwik Trip"":50,""Menard's"":44,""Woodman's Market"":44,""Culver's"":41,""Target"":38,""Costco"":38,""McDonald's"":38,""Pick 'n Save"":33,""Walgreens"":29,""BP"":26,""Piggly Wiggly"":20,""Dollar General"":19,""Mills Fleet Farm"":18,""Taco Bell"":14,""Mobil"":13,""Dollar Tree"":13,""MOOYAH"":12,""Arby's"":12,""The Home Depot"":12}","[1,1,1,1,0,0,0,0,8,22,29,26,35,37,46,36,49,39,24,2,0,0,0,1]","{""Monday"":38,""Tuesday"":29,""Wednesday"":36,""Thursday"":54,""Friday"":39,""Saturday"":65,""Sunday"":23}","{""android"":125,""ios"":81}","locations",NA,NA,17,10,NA,4,26,NA,NA,NA,6,NA,NA,8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,5,NA,NA,12,12,10,9,7,6,5,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","222-222@5s9-yrw-sbk","","ALDI","1399 US Highway 51","Stoughton","WI",53589,"SG_BRAND_41267d9fb3826d417e32077a3b0a35e5","ALDI","2020-04-01T00:00:00-05:00","2020-05-01T00:00:00-05:00",398,241,"[11,16,6,17,13,8,10,11,14,21,14,0,4,10,14,14,19,24,19,14,7,11,13,19,16,14,18,10,18,13]",550250124002,"{""550250122024"":21,""550250125023"":12,""550250124001"":11,""550250124002"":10,""550250123001"":10,""550250122021"":9,""550250125011"":9,""550250122022"":8,""550250123002"":7,""550250122012"":7,""550250120025"":7,""550250106005"":6,""550250123003"":6,""550250105021"":6,""551050029005"":5,""550250125022"":5,""550250125012"":5,""550250106001"":4,""551050013025"":4,""550250109042"":4,""550250125015"":4,""550499505001"":4,""551050030012"":4,""551050030014"":4,""550250121001"":4,""550250105023"":4,""550459608004"":4,""550250125021"":4,""550250109011"":4,""550250120021"":4,""550250105022"":4,""550459601004"":4,""550250121002"":4,""550250123004"":4,""551050029002"":4,""550250014033"":4,""551050013024"":4,""550250132003"":4,""550250122023"":4,""551050029004"":4,""550250120013"":4,""550459601002"":4,""550250122011"":4,""550459601001"":4,""551050030023"":4,""550250125014"":4,""551050030024"":4}","{""55025012202"":38,""55025012502"":25,""55025012300"":24,""55025012501"":22,""55025012400"":19,""55025010600"":16,""55105002900"":14,""55025010502"":12,""55025012002"":9,""55025012201"":9,""55045960100"":7,""55105003001"":6,""55025013200"":4,""55025003100"":4,""55025011302"":4,""55105001302"":4,""55105003002"":4,""55025011800"":4,""55025000504"":4,""55105001202"":4}","{""550250122024"":18,""550250125023"":13,""550250125011"":10,""550250125022"":9,""550250122021"":9,""550250123001"":9,""550250124001"":8,""550250123002"":7,""550250124002"":6,""550250122022"":6,""550250122012"":6,""550250121002"":5,""550250105021"":5,""550250120025"":5,""550250125012"":4,""550250105011"":4,""551050026011"":4,""550250106003"":4,""181079574003"":4,""550250105022"":4,""550250125014"":4,""550250106004"":4,""550250122011"":4,""551050029001"":4,""550250106005"":4,""550250014033"":4,""550250105023"":4,""550250123003"":4,""550250106002"":4,""550250105024"":4,""550250125015"":4,""551050029004"":4,""550250106001"":4,""550499505001"":4,""550250012002"":4,""550459601001"":4,""550250123004"":4,""551050029005"":4,""550250109011"":4,""550250002043"":4}","{""US"":239}",10605,21,"{""<5"":10,""5-10"":87,""11-20"":100,""21-60"":175,""61-120"":12,""121-240"":10,"">240"":4}","{""Kwik Trip"":11,""Pick 'n Save"":7,""Walmart"":4,""Dodge"":4,""Chrysler"":4,""Walgreens"":4,""Culver's"":4,""Jeep"":4,""Ram"":4,""Dunkin'"":3,""McDonald's"":2,""Ace Hardware"":2,""Menard's"":2,""Costco"":2,""Piggly Wiggly"":2,""Jimmy John's"":1,""Blain’s Farm & Fleet"":1,""Papa Murphy's"":1,""KFC"":1,""Dollar General"":1}","{""Kwik Trip"":56,""Culver's"":40,""McDonald's"":36,""Walmart"":33,""Pick 'n Save"":33,""Walgreens"":31,""Menard's"":26,""Costco"":20,""BP"":17,""Target"":15,""Ace Hardware"":15,""Subway"":15,""Woodman's Market"":14,""Blain’s Farm & Fleet"":13,""Taco Bell"":12,""Piggly Wiggly"":12,""The Home Depot"":12,""Mobil"":12,""Dunkin'"":12,""Dollar Tree"":11}","[1,0,0,1,0,1,5,5,13,42,59,65,59,60,71,53,61,54,33,4,1,0,0,1]","{""Monday"":44,""Tuesday"":37,""Wednesday"":65,""Thursday"":70,""Friday"":65,""Saturday"":71,""Sunday"":46}","{""android"":133,""ios"":107}","locations",NA,NA,NA,4,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,4,NA,NA,22,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,12,NA,NA,16,NA,NA,38,25,24,19,14,9,7,6,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","zzw-222@5s9-xfz-kj9","","Hy-Vee","2920 Fitchrona Rd","Fitchburg","WI",53719,"SG_BRAND_8f8c9465b9550499b0540b26e9470dec","Hy-Vee","2020-04-01T00:00:00-05:00","2020-05-01T00:00:00-05:00",1367,794,"[45,41,45,69,56,42,33,51,38,54,71,49,25,42,39,33,45,61,54,38,49,45,41,40,68,38,37,32,47,39]",550250107021,"{""550250137001"":46,""550250108005"":39,""550250107021"":33,""550250125022"":27,""550250107011"":26,""550250107023"":23,""550250108001"":21,""550459601002"":18,""550250005033"":17,""550250005035"":16,""550250005043"":16,""550250107013"":15,""550250125011"":15,""550250108003"":15,""550250109031"":14,""550250014033"":14,""550250006003"":13,""550250005034"":12,""550250128003"":12,""550250125023"":10,""550250108002"":10,""550250005012"":9,""550250107022"":9,""550250005041"":9,""550250126003"":9,""550250014031"":8,""550459602001"":8,""550250015022"":8,""550459602003"":7,""550250128004"":7,""550250107012"":7,""550250108004"":7,""550459601001"":6,""550250109011"":6,""550250127002"":6,""550250125012"":6,""550250125021"":6,""550250014022"":6,""550250128001"":5,""550250125015"":5,""551050029004"":5,""550250006002"":5,""550250137002"":5,""550250124002"":5,""550250107024"":5,""550250004053"":4,""551050028004"":4,""550250005013"":4,""550250015012"":4,""550250119002"":4,""550250008002"":4,""550250002043"":4,""550571002001"":4,""550250122021"":4,""550250113021"":4,""550499505001"":4,""550250125014"":4,""550250014023"":4,""550250005044"":4,""550250124001"":4,""550250127001"":4,""550790209001"":4,""550659701001"":4,""550250133012"":4,""550699607003"":4,""550250014021"":4,""550250004061"":4,""550250015021"":4,""550250131003"":4,""550350003021"":4,""550250114023"":4,""550250131001"":4,""550250129003"":4,""550250017042"":4,""550499506002"":4,""550219709002"":4,""550250010002"":4,""550250005011"":4,""550250005042"":4,""550250129002"":4,""550459601004"":4,""550250123001"":4,""550250105023"":4,""550659704002"":4,""550250111013"":4,""550499504002"":4,""550250125013"":4,""550459603001"":4,""550250005032"":4,""550250109041"":4,""550630003002"":4,""551050028003"":4,""550250132001"":4,""550250115041"":4,""550250005031"":4,""550250109044"":4,""551050029001"":4,""550250128002"":4}","{""55025010800"":98,""55025010702"":63,""55025000503"":53,""55025013700"":53,""55025010701"":50,""55025012502"":39,""55025000504"":35,""55025001403"":30,""55025012501"":30,""55045960200"":23,""55025000600"":23,""55025012800"":22,""55045960100"":21,""55025000501"":15,""55025012400"":14,""55025012600"":12,""55025001402"":11,""55025010903"":11,""55025012700"":10,""55025000407"":8,""55025010904"":7,""55025010901"":7,""55105002900"":7,""55025000405"":5,""55025001502"":5,""55025013200"":5,""55025001401"":5,""55105002800"":4,""55045960600"":4,""55025011102"":4,""55025000406"":4,""55025012202"":4,""55025011900"":4,""55065970100"":4,""12103027322"":4,""55025010502"":4,""55045960300"":4,""55025012001"":4,""55025011402"":4,""26111291200"":4,""17031811200"":4,""55025011506"":4,""55025011301"":4,""55025001501"":4,""55025002800"":4,""55025010300"":4,""55025011101"":4,""55025010600"":4,""55025010501"":4,""55025001300"":4,""55021970800"":4,""55049950200"":4,""55025010400"":4,""55025000408"":4,""55025013100"":4,""55049950500"":4,""55025012900"":4,""55025012300"":4}","{""550250108005"":41,""550250137001"":40,""550250107021"":32,""550250107011"":28,""550250107023"":22,""550250125022"":21,""550250014033"":19,""550250005035"":18,""550459601002"":17,""550250108001"":16,""550250005033"":15,""550250005043"":15,""550250108003"":15,""550250125011"":14,""550250107013"":14,""550250006003"":14,""550250005034"":11,""550250128003"":11,""550250125023"":11,""550459602003"":10,""550250014031"":10,""550250108002"":10,""550250124001"":9,""550250125012"":9,""550250127002"":8,""550250107022"":8,""550250126003"":8,""550250006002"":8,""550250005012"":8,""550459602001"":7,""550250108004"":7,""550250004022"":7,""550250107012"":6,""550250124002"":6,""550250125014"":6,""550250109011"":6,""550250005041"":6,""550219708002"":6,""550250109031"":6,""550250005011"":6,""550250126002"":5,""550459603003"":5,""550250128002"":5,""550699607003"":5,""550250128004"":5,""550499505001"":5,""550250127001"":5,""550250126001"":4,""550250006001"":4,""550250105011"":4,""550250014032"":4,""550250107024"":4,""550219709002"":4,""550250137002"":4,""550250030022"":4,""550659701001"":4,""550250018022"":4,""550459606003"":4,""550250114023"":4,""550250004074"":4,""550250005014"":4,""550250004053"":4,""550250031003"":4,""550250005032"":4,""550250125015"":4,""550250014022"":4,""550499502001"":4,""550250015023"":4,""551050029001"":4,""550250125021"":4,""550250024013"":4,""550250005013"":4,""550250129002"":4,""550459601001"":4,""171770009001"":4,""550250115063"":4,""550459601004"":4,""550250120023"":4,""550571002001"":4,""550250004051"":4,""550250017051"":4,""550250004061"":4,""551050029004"":4,""550250020003"":4,""550499501003"":4,""550250109044"":4,""551110005003"":4,""550250005044"":4,""550250132001"":4,""550250104002"":4,""550250109041"":4,""550250013002"":4,""550250015021"":4,""550250122021"":4,""550250111024"":4,""550250004071"":4,""550250029003"":4,""550459602004"":4,""550250014023"":4}","{""US"":786}",5922,22,"{""<5"":29,""5-10"":319,""11-20"":258,""21-60"":538,""61-120"":121,""121-240"":57,"">240"":45}","{""Target"":10,""Kwik Trip"":6,""McDonald's"":3,""Pick 'n Save"":3,""Culver's"":3,""Costco"":3,""Woodman's Market"":2,""The Home Depot"":2,""Walmart"":2,""Walgreens"":2,""Taco Bell"":2,""Festival Foods Wisconsin"":2,""Menard's"":2,""Blain’s Farm & Fleet"":1,""Pet Supplies Plus"":1,""BP"":1,""Goodwill Industries"":1,""Mobil"":1,""Dollar Tree"":1,""Wendy's"":1}","{""Target"":43,""Kwik Trip"":41,""Culver's"":31,""Walgreens"":30,""McDonald's"":29,""Pick 'n Save"":29,""Walmart"":26,""Menard's"":18,""Woodman's Market"":17,""Blain’s Farm & Fleet"":16,""Costco"":16,""The Home Depot"":15,""Festival Foods Wisconsin"":15,""Subway"":11,""Taco Bell"":10,""BP"":10,""Mobil"":9,""Dollar Tree"":7,""Casey's General Stores"":7,""Burger King"":7}","[7,8,7,15,25,26,31,54,105,136,147,183,189,220,208,209,248,210,157,101,36,11,10,7]","{""Monday"":142,""Tuesday"":156,""Wednesday"":227,""Thursday"":192,""Friday"":184,""Saturday"":269,""Sunday"":197}","{""android"":390,""ios"":402}","locations",NA,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,30,NA,4,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,4,39,4,14,7,NA,21,NA,NA,NA,35,NA,98,63,53,53,50,30,23,23,22,15,12,11,11,10,8,7,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
