location_name,Hy-Vee,ALDI,ALDI,Hy-Vee,Woodman's Market,Trader Joe's,Pick 'n Save,Woodman's Market,Pick 'n Save,ALDI,ALDI,Pick 'n Save,Woodman's Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Pick 'n Save,ALDI,Whole Foods Market,Pick 'n Save,Pick 'n Save,Pick 'n Save,Hy-Vee,Pick 'n Save,Pick 'n Save,Total
55021970600,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
55021970100,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
55025010600,NA,4,16,4,11,4,NA,9,NA,NA,NA,5,5,NA,NA,NA,9,NA,8,16,58,15,NA,NA,NA,164
55021970400,NA,4,NA,NA,4,NA,NA,8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,24
55055100400,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,48
55025012202,NA,NA,38,4,6,NA,NA,4,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5,97,4,NA,NA,NA,NA,168
55025012502,NA,NA,25,39,6,NA,NA,21,NA,NA,NA,NA,5,4,NA,NA,11,NA,4,11,4,8,NA,4,NA,142
55025012300,NA,NA,24,4,11,NA,NA,7,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,88,4,NA,NA,4,NA,151
55025012400,NA,NA,19,14,NA,NA,NA,9,NA,4,NA,NA,8,NA,NA,NA,7,NA,NA,33,4,5,NA,NA,NA,103
55105002900,NA,NA,14,7,4,NA,NA,8,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,9,4,NA,4,NA,NA,62
55025012201,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,30,NA,NA,NA,NA,NA,47
55045960100,NA,NA,7,21,NA,NA,NA,21,NA,4,NA,4,5,7,NA,NA,6,NA,NA,NA,NA,4,5,5,NA,89
55105003001,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,4,NA,NA,NA,19
55105001302,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,12
55105003002,NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,20
55025000504,NA,NA,4,35,NA,NA,NA,50,NA,5,NA,NA,4,64,NA,NA,4,NA,NA,NA,NA,NA,7,12,NA,185
55105001202,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,8
55025010800,NA,NA,NA,98,NA,NA,NA,58,4,4,NA,4,NA,118,4,4,NA,NA,7,NA,NA,4,NA,23,NA,328
55025010702,NA,NA,NA,63,5,NA,NA,34,NA,4,NA,NA,4,46,NA,4,30,NA,NA,4,NA,4,6,7,4,215
55025000503,NA,NA,NA,53,4,NA,NA,63,NA,5,NA,8,6,49,NA,NA,7,NA,4,NA,NA,4,13,5,NA,221
55025013700,NA,NA,NA,53,NA,4,NA,18,NA,5,NA,NA,NA,19,4,NA,NA,NA,4,NA,NA,4,4,4,NA,119
55025010701,NA,NA,NA,50,4,NA,NA,13,NA,NA,NA,NA,4,5,NA,NA,38,NA,NA,NA,NA,4,4,4,NA,126
55025001403,NA,NA,NA,30,8,NA,NA,33,NA,NA,NA,8,7,4,NA,4,80,NA,7,NA,NA,4,4,NA,NA,189
55045960200,NA,NA,NA,23,NA,NA,NA,9,NA,4,NA,NA,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,5,NA,53
55025000600,NA,NA,NA,23,6,NA,NA,65,NA,NA,NA,4,NA,6,NA,4,13,NA,NA,NA,NA,NA,4,NA,NA,125
55025012800,NA,NA,NA,22,NA,NA,NA,34,NA,14,NA,NA,4,7,4,NA,4,NA,NA,NA,NA,NA,4,10,NA,103
55025000501,NA,NA,NA,15,NA,NA,NA,41,NA,4,NA,4,NA,8,4,NA,NA,NA,4,NA,NA,7,20,5,NA,112
55025012600,NA,NA,NA,12,NA,NA,NA,19,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
55025001402,NA,NA,NA,11,15,NA,NA,43,NA,NA,NA,13,NA,NA,NA,NA,37,4,11,NA,NA,4,4,5,NA,147
55025010903,NA,NA,NA,11,NA,NA,NA,23,NA,10,NA,NA,4,8,NA,NA,NA,NA,4,NA,NA,NA,5,38,NA,103
55025012700,NA,NA,NA,10,4,NA,NA,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,37
55025000407,NA,NA,NA,8,4,NA,NA,78,NA,4,NA,NA,4,11,NA,4,NA,NA,4,NA,NA,NA,17,4,NA,138
55025010904,NA,NA,NA,7,NA,NA,NA,50,NA,11,NA,NA,4,NA,94,NA,NA,NA,5,NA,NA,NA,14,83,NA,268
55025010901,NA,NA,NA,7,NA,5,NA,66,NA,22,NA,NA,NA,4,10,NA,NA,NA,4,NA,NA,NA,8,128,NA,254
55025000405,NA,NA,NA,5,6,NA,NA,81,NA,5,NA,4,4,8,NA,4,4,NA,NA,NA,NA,NA,10,34,NA,165
55025001401,NA,NA,NA,5,10,4,NA,39,NA,NA,NA,54,NA,4,NA,4,18,NA,4,NA,NA,7,4,5,NA,158
