res
-0.01360000
-0.01490000
-0.00775000
-0.00063000
0.02930000
-0.00750000
-0.00213000
-0.02480000
-0.01130000
0.00245000
0.00113000
0.04750000
-0.00685000
0.01050000
-0.00017800
0.00607000
-0.02390000
0.05930000
-0.00626000
-0.01790000
0.04600000
-0.02870000
-0.02850000
-0.00929000
-0.01420000
-0.00151000
0.00751000
-0.01230000
0.02330000
0.02050000
0.07510000
-0.00952000
-0.02660000
-0.02420000
0.02610000
-0.01210000
0.01180000
0.01440000
-0.00546000
-0.01500000
0.02660000
-0.01280000
-0.02720000
-0.01180000
-0.02600000
0.01250000
-0.01690000
-0.01600000
-0.00324000
-0.01070000
-0.01710000
-0.02640000
-0.01550000
0.02640000
-0.02460000
0.00297000
-0.02400000
0.04230000
-0.00804000
-0.02450000
-0.01530000
-0.01330000
-0.02500000
-0.01320000
-0.00704000
-0.00696000
0.00472000
0.01270000
0.00658000
0.00313000
0.00285000
0.01790000
0.02420000
0.00966000
0.04540000
-0.00092500
0.01230000
-0.00838000
-0.01850000
0.00693000
-0.00517000
-0.00198000
-0.00641000
-0.00981000
-0.00947000
0.00468000
-0.02460000
-0.00372000
0.05250000
0.00914000
0.04620000
0.00315000
-0.01570000
-0.00612000
-0.00000829
-0.00555000
0.00902000
-0.01200000
0.01250000
-0.01550000
0.01450000
0.02710000
-0.01700000
0.01460000
0.01250000
