year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2020,4,2,nl,CA,7716,5564,7716,5564
2020,4,2,nm,US,203007,90736,110714,72281
2020,4,2,ns,CA,13955,10637,13955,10637
2020,4,2,nt,CA,644,484,644,484
2020,4,2,nu,CA,262,184,262,184
2020,4,2,nv,US,349215,151411,179580,125010
2020,4,2,ny,US,1767833,890897,1037103,729389
2020,4,2,oh,US,1643549,728340,962638,618732
2020,4,2,ok,US,756331,299712,421643,259483
2020,4,2,on,CA,303148,220869,303148,220869
2020,4,2,or,US,425380,193110,223438,156236
2020,4,2,pa,US,1331411,644122,800540,540661
2020,4,2,pe,CA,2176,1577,2176,1577
2020,4,2,pr,US,171359,114664,148270,110705
2020,4,2,qc,CA,159587,118868,159587,118868
2020,4,2,ri,US,93380,46473,55533,37945
2020,4,2,sc,US,865724,334792,484812,290802
2020,4,2,sd,US,112021,53806,65273,42656
2020,4,2,sk,CA,25897,19293,25897,19293
2020,4,2,tn,US,1154562,458841,636219,391369
2020,4,2,tx,US,4544299,1920872,2497045,1636376
2020,4,2,ut,US,370853,160600,200969,133772
2020,4,2,va,US,1008182,442688,571677,374054
2020,4,2,vi,US,132,77,0,0
2020,4,2,vt,US,41529,21947,27069,18487
2020,4,2,wa,US,710033,342007,399825,285710
2020,4,2,wi,US,691852,318614,417260,270758
2020,4,2,wv,US,219073,98772,130927,83202
2020,4,2,wy,US,63178,29832,35462,23244
2020,4,2,yt,CA,635,495,635,495
2020,4,3,ALL,"",43894502,18521262,24330599,15887527
2020,4,3,ALL_CA,CA,687370,507048,687370,507048
2020,4,3,ALL_US,US,43207132,18014546,23643229,15380479
2020,4,3,ab,CA,88234,66091,88234,66091
2020,4,3,ak,US,56308,27025,30716,22247
2020,4,3,al,US,1212998,411210,621184,359546
2020,4,3,ar,US,611828,229462,323778,195887
2020,4,3,as,US,44,27,34,25
2020,4,3,az,US,894862,356733,446993,298637
2020,4,3,bc,CA,81312,60965,81312,60965
2020,4,3,ca,US,3652410,1563152,1858650,1295037
2020,4,3,co,US,606826,277992,328917,228929
2020,4,3,ct,US,329925,157980,193454,132467
2020,4,3,dc,US,33064,18301,0,0
2020,4,3,de,US,113213,50293,62823,41340
2020,4,3,fl,US,3170377,1291103,1702357,1105631
2020,4,3,ga,US,1886469,705875,1001182,608101
2020,4,3,gu,US,832,505,633,480
2020,4,3,hi,US,163258,63284,75942,53331
2020,4,3,ia,US,527695,230483,302543,194549
2020,4,3,id,US,201955,85568,109945,71143
2020,4,3,il,US,1726426,754973,957382,622738
2020,4,3,in,US,1017331,421191,574119,354955
2020,4,3,ks,US,452051,200769,262521,171288
2020,4,3,ky,US,719808,282427,389146,233058
2020,4,3,la,US,803241,310433,439522,268311
2020,4,3,ma,US,533365,275479,308749,220045
2020,4,3,mb,CA,28389,20674,28389,20674
2020,4,3,md,US,659160,302508,361623,244892
2020,4,3,me,US,108788,52125,68003,45531
2020,4,3,mi,US,1203468,556242,743575,484141
2020,4,3,mn,US,637797,310955,376765,260014
2020,4,3,mo,US,1038584,426135,566552,359866
2020,4,3,mp,US,231,173,231,173
2020,4,3,ms,US,626378,222405,335731,193225
2020,4,3,mt,US,102541,44610,57096,37065
2020,4,3,nb,CA,10458,7436,10458,7436
2020,4,3,nc,US,1621575,617850,887320,536497
2020,4,3,nd,US,101005,45678,57635,37710
2020,4,3,ne,US,321080,134697,175594,111489
2020,4,3,nh,US,135324,65895,80208,54672
2020,4,3,nj,US,943743,465795,565540,395980
2020,4,3,nl,CA,7428,5359,7428,5359
2020,4,3,nm,US,211688,91624,112299,72631
2020,4,3,ns,CA,13525,10040,13525,10040
2020,4,3,nt,CA,591,444,591,444
2020,4,3,nu,CA,249,175,249,175
2020,4,3,nv,US,365398,151361,182901,124860
2020,4,3,ny,US,1719765,865428,987759,705470
2020,4,3,oh,US,1737483,729425,982094,618678
2020,4,3,ok,US,733633,293702,401836,253927
2020,4,3,on,CA,281105,205696,281105,205696
2020,4,3,or,US,446078,194162,227228,156419
2020,4,3,pa,US,1382937,638695,800342,533000
2020,4,3,pe,CA,2171,1511,2171,1511
2020,4,3,pr,US,161577,107191,137825,103334
2020,4,3,qc,CA,149143,110571,149143,110571
2020,4,3,ri,US,92538,45702,53592,36937
2020,4,3,sc,US,915792,333894,489835,287951
2020,4,3,sd,US,118471,52370,64952,41273
2020,4,3,sk,CA,24252,17682,24252,17682
2020,4,3,tn,US,1174776,455760,636091,389286
2020,4,3,tx,US,4682088,1926658,2501107,1635922
2020,4,3,ut,US,393441,159966,205181,132621
2020,4,3,va,US,1056137,438967,575118,369863
2020,4,3,vi,US,142,92,0,0
2020,4,3,vt,US,43770,21952,27385,18268
2020,4,3,wa,US,738422,341740,402741,284281
2020,4,3,wi,US,716384,322065,419519,271593
2020,4,3,wv,US,234844,99183,133088,82381
2020,4,3,wy,US,67808,29249,35873,22784
2020,4,3,yt,CA,513,404,513,404
2020,4,4,ALL,"",39779791,17905482,23404610,15364350
2020,4,4,ALL_CA,CA,669335,491829,669335,491829
2020,4,4,ALL_US,US,39110456,17413866,22735275,14872521
2020,4,4,ab,CA,85987,64810,85987,64810
2020,4,4,ak,US,50391,25473,29603,21007
2020,4,4,al,US,1057461,395300,605672,348024
2020,4,4,ar,US,513977,218102,299771,187424
2020,4,4,as,US,33,22,29,22
2020,4,4,az,US,818934,339143,428517,282337
2020,4,4,bc,CA,79927,59214,79927,59214
2020,4,4,ca,US,3227984,1491575,1765020,1238712
2020,4,4,co,US,596876,273020,331181,221817
2020,4,4,ct,US,341171,156969,203690,130848
2020,4,4,dc,US,24584,14475,0,0
2020,4,4,de,US,104718,48643,60534,40184
2020,4,4,fl,US,2897598,1249630,1639135,1073516
2020,4,4,ga,US,1574355,677358,929104,589238
2020,4,4,gu,US,825,510,649,489
2020,4,4,hi,US,143139,61422,74722,51746
2020,4,4,ia,US,505283,220021,296152,184657
2020,4,4,id,US,179681,82856,105592,68696
2020,4,4,il,US,1525611,716963,889688,597702
2020,4,4,in,US,896005,404482,538100,343655
2020,4,4,ks,US,419924,193197,255777,165833
2020,4,4,ky,US,658570,276043,376273,225464
2020,4,4,la,US,694317,300251,415940,260946
2020,4,4,ma,US,553957,272814,327210,218040
2020,4,4,mb,CA,28360,20755,28360,20755
2020,4,4,md,US,607052,290972,350555,239605
2020,4,4,me,US,108678,51511,71094,44965
2020,4,4,mi,US,1052237,540698,686810,469504
2020,4,4,mn,US,630093,302034,380036,251465
2020,4,4,mo,US,919682,405456,531115,343933
2020,4,4,mp,US,227,174,227,174
2020,4,4,ms,US,486038,212273,304555,186977
2020,4,4,mt,US,92606,43007,54923,35710
2020,4,4,nb,CA,10042,7199,10042,7199
2020,4,4,nc,US,1486035,597550,863820,520827
2020,4,4,nd,US,90306,43724,54768,36249
2020,4,4,ne,US,309259,132348,175115,108732
2020,4,4,nh,US,142805,66251,85032,54034
2020,4,4,nj,US,945348,460776,582800,391709
2020,4,4,nl,CA,7021,5069,7021,5069
2020,4,4,nm,US,187811,86676,103910,67713
2020,4,4,ns,CA,13133,9660,13133,9660
2020,4,4,nt,CA,557,423,557,423
2020,4,4,nu,CA,218,172,218,172
2020,4,4,nv,US,327888,146299,175110,120076
2020,4,4,ny,US,1711569,850431,1013248,692819
2020,4,4,oh,US,1655276,714992,969303,606698
2020,4,4,ok,US,646070,282009,379027,244256
2020,4,4,on,CA,270146,197817,270146,197817
2020,4,4,or,US,391127,184293,215137,148737
2020,4,4,pa,US,1296747,624209,783157,522355
2020,4,4,pe,CA,2014,1438,2014,1438
2020,4,4,pr,US,151980,104175,132282,100730
2020,4,4,qc,CA,148753,107571,148753,107571
2020,4,4,ri,US,95555,45606,55999,36684
2020,4,4,sc,US,834871,322675,474274,279800
2020,4,4,sd,US,107041,48292,63878,40166
2020,4,4,sk,CA,22695,17327,22695,17327
2020,4,4,tn,US,1052261,435992,615618,375702
2020,4,4,tx,US,4015633,1832305,2298820,1560977
2020,4,4,ut,US,349044,155109,195549,126972
2020,4,4,va,US,976990,426829,560662,361337
2020,4,4,vi,US,96,72,0,0
2020,4,4,vt,US,42512,21594,27950,17991
2020,4,4,wa,US,679806,328502,393556,273494
2020,4,4,wi,US,656114,308201,399849,258965
2020,4,4,wv,US,214246,95117,129994,80494
2020,4,4,wy,US,62059,28873,34743,22314
2020,4,4,yt,CA,482,374,482,374
2020,4,5,ALL,"",35482100,17676143,22754072,15418966
2020,4,5,ALL_CA,CA,646623,499333,646623,499333
2020,4,5,ALL_US,US,34835477,17176959,22107449,14919633
2020,4,5,ab,CA,84132,66224,84132,66224
2020,4,5,ak,US,46139,25636,29340,21479
2020,4,5,al,US,821783,385450,548349,349344
2020,4,5,ar,US,469450,212808,300630,187866
2020,4,5,as,US,33,23,26,22
2020,4,5,az,US,710705,330171,409458,281353
2020,4,5,bc,CA,79970,60534,79970,60534
2020,4,5,ca,US,2837539,1494174,1706755,1260655
2020,4,5,co,US,542695,265679,323138,220061
2020,4,5,ct,US,297534,153824,192709,129879
2020,4,5,dc,US,23070,14293,0,0
2020,4,5,de,US,95471,47837,60533,40450
2020,4,5,fl,US,2436143,1227273,1545629,1074742
