Census,Week_Start,Week_End,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate
53033002800,3/31/2020,4/14/2020,2,41.02,2,41.02,0,0,60,1230.55,63,1292.08
53033002800,4/15/2020,4/29/2020,1,20.51,1,20.51,0,0,76,1558.7,79,1620.23
53033002900,3/31/2020,4/14/2020,3,65.2,3,65.2,0,0,57,1238.78,61,1325.71
53033002900,4/15/2020,4/29/2020,3,65.2,3,65.2,0,0,59,1282.24,62,1347.44
53033003000,3/31/2020,4/14/2020,2,31.65,2,31.65,0,0,63,996.95,65,1028.6
53033003000,4/15/2020,4/29/2020,0,0,0,0,0,0,66,1044.43,69,1091.9
53033003100,3/31/2020,4/14/2020,1,15.2,1,15.2,0,0,71,1079.04,72,1094.24
53033003100,4/15/2020,4/29/2020,0,0,0,0,0,0,46,699.1,50,759.89
53033003200,3/31/2020,4/14/2020,2,21.25,2,21.25,0,0,88,935.21,90,956.46
53033003200,4/15/2020,4/29/2020,1,10.63,1,10.63,0,0,98,1041.48,101,1073.36
53033003300,3/31/2020,4/14/2020,3,38,3,38,0,0,68,861.41,72,912.09
53033003300,4/15/2020,4/29/2020,0,0,0,0,0,0,76,962.76,80,1013.43
53033003400,3/31/2020,4/14/2020,1,27.77,1,27.77,0,0,45,1249.72,48,1333.03
53033003400,4/15/2020,4/29/2020,0,0,0,0,0,0,45,1249.72,48,1333.03
53033003500,3/31/2020,4/14/2020,0,0,0,0,0,0,38,874.24,38,874.24
53033003500,4/15/2020,4/29/2020,0,0,0,0,0,0,66,1518.41,71,1633.45
53033003600,3/31/2020,4/14/2020,6,67.33,6,67.33,0,0,106,1189.42,110,1234.3
53033003600,4/15/2020,4/29/2020,2,22.44,2,22.44,0,0,198,2221.74,204,2289.07
53033003800,3/31/2020,4/14/2020,1,40.78,1,40.78,0,0,24,978.72,26,1060.28
53033003800,4/15/2020,4/29/2020,0,0,0,0,0,0,29,1182.62,29,1182.62
53033003900,3/31/2020,4/14/2020,0,0,0,0,0,0,26,882.23,28,950.09
53033003900,4/15/2020,4/29/2020,0,0,0,0,0,0,29,984.02,29,984.02
53033004000,3/31/2020,4/14/2020,10,308.48,10,308.48,0,0,58,1789.21,60,1850.91
53033004000,4/15/2020,4/29/2020,0,0,0,0,0,0,59,1820.06,62,1912.6
53033004100,3/31/2020,4/14/2020,1,12.25,1,12.25,0,0,89,1090.2,95,1163.7
53033004100,4/15/2020,4/29/2020,1,12.25,1,12.25,0,0,98,1200.44,102,1249.44
53033004200,3/31/2020,4/14/2020,3,36.73,3,36.73,0,0,88,1077.46,92,1126.43
53033004200,4/15/2020,4/29/2020,1,12.24,1,12.24,0,0,118,1444.77,127,1554.97
53033004301,3/31/2020,4/14/2020,0,0,0,0,0,0,34,836.77,36,885.99
53033004301,4/15/2020,4/29/2020,1,24.61,1,24.61,0,0,36,885.99,37,910.6
53033004302,3/31/2020,4/14/2020,1,23.02,1,23.02,0,0,28,644.5,28,644.5
53033004302,4/15/2020,4/29/2020,0,0,0,0,0,0,18,414.32,20,460.35
53033004400,3/31/2020,4/14/2020,0,0,0,0,0,0,65,839.3,66,852.21
